lon,lat,date,ID,tropospheric_NO2_column_number_density
105.85089874267578,21.021299362182617,2020-01-01,5,
105.85089874267578,21.021299362182617,2020-01-02,5,
105.85089874267578,21.021299362182617,2020-01-03,5,
105.85089874267578,21.021299362182617,2020-01-04,5,
105.85089874267578,21.021299362182617,2020-01-05,5,
105.85089874267578,21.021299362182617,2020-01-06,5,
105.85089874267578,21.021299362182617,2020-01-07,5,
105.85089874267578,21.021299362182617,2020-01-08,5,
105.85089874267578,21.021299362182617,2020-01-09,5,1.2207981490064412E-4
105.85089874267578,21.021299362182617,2020-01-10,5,
105.85089874267578,21.021299362182617,2020-01-11,5,
105.85089874267578,21.021299362182617,2020-01-12,5,
105.85089874267578,21.021299362182617,2020-01-13,5,
105.85089874267578,21.021299362182617,2020-01-14,5,
105.85089874267578,21.021299362182617,2020-01-15,5,
105.85089874267578,21.021299362182617,2020-01-16,5,
105.85089874267578,21.021299362182617,2020-01-17,5,
105.85089874267578,21.021299362182617,2020-01-18,5,
105.85089874267578,21.021299362182617,2020-01-19,5,
105.85089874267578,21.021299362182617,2020-01-20,5,
105.85089874267578,21.021299362182617,2020-01-21,5,
105.85089874267578,21.021299362182617,2020-01-22,5,
105.85089874267578,21.021299362182617,2020-01-23,5,
105.85089874267578,21.021299362182617,2020-01-24,5,
105.85089874267578,21.021299362182617,2020-01-25,5,
105.85089874267578,21.021299362182617,2020-01-26,5,
105.85089874267578,21.021299362182617,2020-01-27,5,
105.85089874267578,21.021299362182617,2020-01-28,5,
105.85089874267578,21.021299362182617,2020-01-29,5,
105.85089874267578,21.021299362182617,2020-01-30,5,5.3090690926183015E-5
105.85089874267578,21.021299362182617,2020-01-31,5,
105.85089874267578,21.021299362182617,2020-02-01,5,
105.85089874267578,21.021299362182617,2020-02-02,5,
105.85089874267578,21.021299362182617,2020-02-03,5,
105.85089874267578,21.021299362182617,2020-02-04,5,
105.85089874267578,21.021299362182617,2020-02-05,5,
105.85089874267578,21.021299362182617,2020-02-06,5,
105.85089874267578,21.021299362182617,2020-02-07,5,
105.85089874267578,21.021299362182617,2020-02-08,5,
105.85089874267578,21.021299362182617,2020-02-09,5,
105.85089874267578,21.021299362182617,2020-02-10,5,
105.85089874267578,21.021299362182617,2020-02-11,5,
105.85089874267578,21.021299362182617,2020-02-12,5,
105.85089874267578,21.021299362182617,2020-02-13,5,
105.85089874267578,21.021299362182617,2020-02-14,5,
105.85089874267578,21.021299362182617,2020-02-15,5,
105.85089874267578,21.021299362182617,2020-02-16,5,
105.85089874267578,21.021299362182617,2020-02-17,5,
105.85089874267578,21.021299362182617,2020-02-18,5,8.573709055781364E-5
105.85089874267578,21.021299362182617,2020-02-19,5,
105.85089874267578,21.021299362182617,2020-02-20,5,
105.85089874267578,21.021299362182617,2020-02-21,5,
105.85089874267578,21.021299362182617,2020-02-22,5,
105.85089874267578,21.021299362182617,2020-02-23,5,
105.85089874267578,21.021299362182617,2020-02-24,5,7.499468483729288E-5
105.85089874267578,21.021299362182617,2020-02-25,5,
105.85089874267578,21.021299362182617,2020-02-26,5,
105.85089874267578,21.021299362182617,2020-02-27,5,
105.85089874267578,21.021299362182617,2020-02-28,5,
105.85089874267578,21.021299362182617,2020-02-29,5,
105.85089874267578,21.021299362182617,2020-03-01,5,
105.85089874267578,21.021299362182617,2020-03-02,5,
105.85089874267578,21.021299362182617,2020-03-03,5,
105.85089874267578,21.021299362182617,2020-03-04,5,
105.85089874267578,21.021299362182617,2020-03-05,5,
105.85089874267578,21.021299362182617,2020-03-06,5,
105.85089874267578,21.021299362182617,2020-03-07,5,
105.85089874267578,21.021299362182617,2020-03-08,5,9.309619053965434E-5
105.85089874267578,21.021299362182617,2020-03-09,5,7.484557863790542E-5
105.85089874267578,21.021299362182617,2020-03-10,5,
105.85089874267578,21.021299362182617,2020-03-11,5,
105.85089874267578,21.021299362182617,2020-03-12,5,
105.85089874267578,21.021299362182617,2020-03-13,5,
105.85089874267578,21.021299362182617,2020-03-14,5,
105.85089874267578,21.021299362182617,2020-03-15,5,
105.85089874267578,21.021299362182617,2020-03-16,5,
105.85089874267578,21.021299362182617,2020-03-17,5,
